순위,국가코드,국가,수출액_십억달러,YoY_%,MoM_%,전체수출대비_비중_%
1,CN,중국,21.681183695,96.24866590450422,8.393349892122949,21.909237204023867
2,US,미국,17.474061407,69.10196979762763,-12.637650928052368,17.65786230444288
3,VN,베트남,9.933399526,79.29077947635012,15.359281996715147,10.037883978985045
4,HK,홍콩,6.654371934,183.3662896366838,-26.83494844999059,6.72436593853623
5,TW,대만,5.677909773,22.031154702413545,-31.780277742135098,5.737632861271798
6,NL,네덜란드,3.10877345,220.58672561871856,122.94280594425442,3.14147308042637
7,JP,일본,2.753565356,10.86785301883426,-1.5775522894642013,2.7825287304446884
8,IN,인도,2.583451093,45.01433001651507,22.76741841579355,2.610625120739365
9,MY,말레이시아,2.579527974,145.8621382875321,4.9561365536408,2.6066607364160848
10,SG,싱가포르,2.441076593,35.93038290119554,-22.461860808644595,2.466753054703429
