대시보드품목,조회HS,국가코드,국가,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_품목총수출_USD,YTD_품목수출대비_비중_%
전자집적회로,8542,GH,가나,1-7월,41249,0,4.1249e-05,0.0,-100.0,-4.1249e-05,181716256031,0.0
전자집적회로,8542,GY,가이아나,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,GT,과테말라,1-7월,510,231,5.1e-07,2.31e-07,-54.70588235294118,-2.79e-07,181716256031,1.2712126314147284e-07
전자집적회로,8542,VA,교황청,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,GR,그리스,1-7월,1755,5916,1.755e-06,5.916e-06,237.0940170940171,4.161e-06,181716256031,3.2556250768179794e-06
전자집적회로,8542,ZZ,기타국,1-7월,0,36,0.0,3.6e-08,,3.6e-08,181716256031,1.9811105944125636e-08
전자집적회로,8542,NA,나미비아,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,NG,나이지리아,1-7월,807218,425324,0.000807218,0.000425324,-47.3098964591969,-0.000381894,181716256031,0.00023405941179386924
전자집적회로,8542,SS,남수단,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,ZA,남아프리카공화국,1-7월,3088256,1851063,0.003088256,0.001851063,-40.061219018112496,-0.001237193,181716256031,0.0010186557000625288
전자집적회로,8542,NL,네덜란드,1-7월,73173151,217268309,0.073173151,0.217268309,196.92353825243907,0.144095158,181716256031,0.11956459688611182
전자집적회로,8542,AN,네덜란드 열도,1-7월,114600,74600,0.0001146,7.46e-05,-34.904013961605585,-4e-05,181716256031,4.10530139842159e-05
전자집적회로,8542,NP,네팔,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,NO,노르웨이,1-7월,6737,7965,6.737e-06,7.965e-06,18.227697788333085,1.228e-06,181716256031,4.383207190137797e-06
전자집적회로,8542,NZ,뉴질랜드,1-7월,35170,11527,3.517e-05,1.1527e-05,-67.22490759169747,-2.3643e-05,181716256031,6.3434060616093385e-06
전자집적회로,8542,TW,대만,1-7월,17108142014,29366155560,17.108142014,29.36615556,71.6501741449713,12.258013546,181716256031,16.16044497141206
전자집적회로,8542,DK,덴마크,1-7월,638640,1043319,0.00063864,0.001043319,63.365745960165356,0.000404679,181716256031,0.0005741473122922003
전자집적회로,8542,DO,도미니카 공화국,1-7월,4360,0,4.36e-06,0.0,-100.0,-4.36e-06,181716256031,0.0
전자집적회로,8542,DE,독일,1-7월,181282143,296252896,0.181282143,0.296252896,63.42089248139571,0.114970753,181716256031,0.16303048635861206
전자집적회로,8542,LA,라오스,1-7월,585,0,5.85e-07,0.0,-100.0,-5.85e-07,181716256031,0.0
전자집적회로,8542,LR,라이베리아,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,LV,라트비아,1-7월,986,26431,9.86e-07,2.6431e-05,2580.6288032454363,2.5445e-05,181716256031,1.4545203922477351e-05
전자집적회로,8542,RU,러시아 연방,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,LB,레바논,1-7월,62040,46253,6.204e-05,4.6253e-05,-25.446486137975498,-1.5787e-05,181716256031,2.5453418978712305e-05
전자집적회로,8542,RO,루마니아,1-7월,730937,1187579,0.000730937,0.001187579,62.47351002890811,0.000456642,181716256031,0.0006535348162782994
전자집적회로,8542,LU,룩셈부르그,1-7월,0,3657,0.0,3.657e-06,,3.657e-06,181716256031,2.0124781788240958e-06
전자집적회로,8542,RW,르완다,1-7월,12817,7429,1.2817e-05,7.429e-06,-42.03791838963876,-5.388e-06,181716256031,4.088241834969704e-06
전자집적회로,8542,LT,리투아니아,1-7월,246122,22286,0.000246122,2.2286e-05,-90.94514102762045,-0.000223836,181716256031,1.2264175196410666e-05
전자집적회로,8542,LI,리히텐슈타인,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,MK,마세도니아,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,MO,마카오,1-7월,0,1456,0.0,1.456e-06,,1.456e-06,181716256031,8.012491737401923e-07
전자집적회로,8542,MY,말레이시아,1-7월,2562954415,6218554066,2.562954415,6.218554066,142.6322539958246,3.655599651,181716256031,3.4221231505777565
전자집적회로,8542,ML,말리,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,YT,메요트,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,MX,멕시코,1-7월,193910278,461797066,0.193910278,0.461797066,138.14986537227284,0.267886788,181716256031,0.25413084997812163
전자집적회로,8542,MC,모나코,1-7월,0,80165,0.0,8.0165e-05,,8.0165e-05,181716256031,4.411548077807866e-05
전자집적회로,8542,MA,모로코,1-7월,941460,1191220,0.00094146,0.00119122,26.52900813629895,0.00024976,181716256031,0.0006555384895211483
전자집적회로,8542,MU,모리셔스,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,MR,모리타니,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,MZ,모잠비크,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,ME,몬테네그로,1-7월,0,98,0.0,9.8e-08,,9.8e-08,181716256031,5.3930232847897564e-08
전자집적회로,8542,MS,몬트세라트,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,MT,몰타,1-7월,16230183,51039078,0.016230183,0.051039078,214.47013259185064,0.034808895,181716256031,0.028087238376347
전자집적회로,8542,MN,몽골,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,US,미국,1-7월,465025321,1704768762,0.465025321,1.704768762,266.5969754795353,1.239743441,181716256031,0.938148737617164
전자집적회로,8542,MM,미얀마,1-7월,0,1138700,0.0,0.0011387,,0.0011387,181716256031,0.0006266362871826628
전자집적회로,8542,BH,바레인,1-7월,221,0,2.21e-07,0.0,-100.0,-2.21e-07,181716256031,0.0
전자집적회로,8542,BD,방글라데시,1-7월,423975,2439959,0.000423975,0.002439959,475.49596084674806,0.002015984,181716256031,0.0013427301735645233
전자집적회로,8542,VE,베네주엘라,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,VN,베트남,1-7월,12245558398,28815413917,12.245558398,28.815413917,135.31318850846574,16.569855519,181716256031,15.85736716481998
전자집적회로,8542,BE,벨기에,1-7월,2438205,8703989,0.002438205,0.008703989,256.9834775992995,0.006265784,181716256031,0.004789879117097337
전자집적회로,8542,BY,벨라루스,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,BA,보스니아-헤르체고비나,1-7월,0,6555,0.0,6.555e-06,,6.555e-06,181716256031,3.6072722073262096e-06
전자집적회로,8542,BF,부르키나 파소,1-7월,43,0,4.3e-08,0.0,-100.0,-4.3e-08,181716256031,0.0
전자집적회로,8542,BG,불가리아,1-7월,496651,135398,0.000496651,0.000135398,-72.73779776945985,-0.000361253,181716256031,7.451067007285341e-05
전자집적회로,8542,PF,불령 폴리네시아,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,BR,브라질,1-7월,557511525,1516240937,0.557511525,1.516240937,171.96584626658614,0.958729412,181716256031,0.834400273325759
전자집적회로,8542,SA,사우디아라비아,1-7월,2264,6865,2.264e-06,6.865e-06,203.22438162544168,4.601e-06,181716256031,3.7778678418450695e-06
전자집적회로,8542,CY,사이프러스,1-7월,0,14,0.0,1.4e-08,,1.4e-08,181716256031,7.70431897827108e-09
전자집적회로,8542,SM,산마리노,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,RS,세르비아,1-7월,6044003,6235740,0.006044003,0.00623574,3.1723511718971587,0.000191737,181716256031,0.003431580716111722
전자집적회로,8542,SC,세이쉘,1-7월,5808,0,5.808e-06,0.0,-100.0,-5.808e-06,181716256031,0.0
전자집적회로,8542,KN,세인트 키츠 네비스,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,PM,세인트 피레 미켈론,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,SO,소말리아,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,SB,솔로몬 군도,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,LK,스리랑카,1-7월,0,26475,0.0,2.6475e-05,,2.6475e-05,181716256031,1.456941749640906e-05
전자집적회로,8542,SZ,스와질랜드,1-7월,30841,3,3.0841e-05,3e-09,-99.99027268895301,-3.0838e-05,181716256031,1.6509254953438028e-09
전자집적회로,8542,SE,스웨덴,1-7월,17907522,27788309,0.017907522,0.027788309,55.1767408131622,0.009880787,181716256031,0.01529214260019722
전자집적회로,8542,CH,스위스,1-7월,1237347,1486315,0.001237347,0.001486315,20.121113963989078,0.000248968,181716256031,0.0008179317758706414
전자집적회로,8542,ES,스페인,1-7월,1730605,1974914,0.001730605,0.001974914,14.116970654771022,0.000244309,181716256031,0.0010868119579038036
전자집적회로,8542,SK,슬로바키아,1-7월,2589306,10599123,0.002589306,0.010599123,309.3422330153331,0.008009817,181716256031,0.005832787462994965
전자집적회로,8542,SI,슬로베니아,1-7월,4400,98848,4.4e-06,9.8848e-05,2146.5454545454545,9.4448e-05,181716256031,5.439689445458142e-05
전자집적회로,8542,SG,싱가포르,1-7월,2655341878,3644123632,2.655341878,3.644123632,37.23745564336707,0.988781754,181716256031,2.005392204084553
전자집적회로,8542,AE,아랍에미리트 연합,1-7월,11974445,4180576,0.011974445,0.004180576,-65.08751762607787,-0.007793869,181716256031,0.0023006065012074715
전자집적회로,8542,AM,아르메니아,1-7월,606,0,6.06e-07,0.0,-100.0,-6.06e-07,181716256031,0.0
전자집적회로,8542,AR,아르헨티나,1-7월,6343304,6244790,0.006343304,0.00624479,-1.5530392363348855,-9.8514e-05,181716256031,0.0034365610080226757
전자집적회로,8542,IS,아이슬란드,1-7월,6001,9044,6.001e-06,9.044e-06,50.70821529745042,3.043e-06,181716256031,4.976990059963118e-06
전자집적회로,8542,HT,아이티,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,IE,아일랜드,1-7월,660439,2694730,0.000660439,0.00269473,308.0210284371456,0.002034291,181716256031,0.001482932820022602
전자집적회로,8542,AZ,아제르바이잔,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,AD,안도라,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,EE,에스토니아,1-7월,146326,94472,0.000146326,9.4472e-05,-35.43731120921777,-5.1854e-05,181716256031,5.198874446537325e-05
전자집적회로,8542,EC,에쿠아도르,1-7월,270,131,2.7e-07,1.31e-07,-51.48148148148148,-1.39e-07,181716256031,7.20904132966794e-08
전자집적회로,8542,ET,에티오피아,1-7월,159,0,1.59e-07,0.0,-100.0,-1.59e-07,181716256031,0.0
전자집적회로,8542,SV,엘살바도르,1-7월,4434,0,4.434e-06,0.0,-100.0,-4.434e-06,181716256031,0.0
전자집적회로,8542,GB,영국,1-7월,4521842,9452844,0.004521842,0.009452844,109.04852491528897,0.004931002,181716256031,0.0052019803877025655
전자집적회로,8542,KY,영령 캐이맨 군도,1-7월,0,0,0.0,0.0,,0.0,181716256031,0.0
전자집적회로,8542,OM,오만,1-7월,21751,1811,2.1751e-05,1.811e-06,-91.6739460254701,-1.994e-05,181716256031,9.966086906892092e-07
전자집적회로,8542,AT,오스트리아,1-7월,64817080,121773692,0.06481708,0.121773692,87.87284462675579,0.056956612,181716256031,0.06701309759498122
전자집적회로,8542,HN,온두라스,1-7월,0,230,0.0,2.3e-07,,2.3e-07,181716256031,1.265709546430249e-07
전자집적회로,8542,JO,요르단,1-7월,150254,146,0.000150254,1.46e-07,-99.90283120582481,-0.000150108,181716256031,8.034504077339841e-08
